roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_genes,n_sig
0.7780307877601716,0.7514050138515289,0.7024539877300613,0.7116564417177914,0.6932515337423313,0.7051671732522796,0.2025031288343558,326,0.5,0.488,2,all,loh,random_forest,1461,96
0.7735330648500133,0.7634131567948395,0.7116564417177914,0.7668711656441718,0.656441717791411,0.7267441860465116,0.19518781763673593,326,0.5,0.504,2,10,loh,random_forest,1,9
0.7667958899469306,0.7493748614250786,0.6840490797546013,0.6380368098159509,0.7300613496932515,0.6688102893890675,0.19950170756035304,326,0.5,0.536,2,20,loh,random_forest,1,19
0.7613007640483269,0.7525989305185227,0.6503067484662577,0.6012269938650306,0.6993865030674846,0.632258064516129,0.20061055214723927,326,0.5,0.528,2,30,loh,random_forest,1,29
0.770287563986751,0.780723939522351,0.699902137910268,0.6158536585365854,0.7839506172839507,0.6733333333333333,0.20588455830152042,326,0.5030674846625767,0.51,3,all,loh,random_forest,1162,96
0.7434507678410117,0.7441233308383883,0.6662526347485697,0.5670731707317073,0.7654320987654321,0.6305084745762712,0.2059947763689732,326,0.5030674846625767,0.527,3,10,loh,random_forest,1,9
0.7722071665161097,0.7826825870554055,0.6934281842818428,0.6646341463414634,0.7222222222222222,0.6855345911949685,0.19546377921232017,326,0.5030674846625767,0.493,3,20,loh,random_forest,1,19
0.7756699789220115,0.7988851500913058,0.6966651610960555,0.6402439024390244,0.7530864197530864,0.6796116504854369,0.1950970589972776,326,0.5030674846625767,0.502,3,30,loh,random_forest,2,28
0.7533591779893861,0.7329415421965988,0.7208588957055215,0.7852760736196319,0.656441717791411,0.7377521613832853,0.20956250306748464,326,0.5,0.484,4,all,loh,random_forest,1415,96
0.7121833715984793,0.6932077038677504,0.6533742331288344,0.6932515337423313,0.6134969325153374,0.6666666666666666,0.2165932406766494,326,0.5,0.486,4,10,loh,random_forest,1,9
0.7215551959050022,0.7113663313383494,0.656441717791411,0.6932515337423313,0.6196319018404908,0.6686390532544378,0.2125029693251534,326,0.5,0.484,4,20,loh,random_forest,1,19
0.729496781963943,0.7032763466557859,0.665644171779141,0.6871165644171779,0.6441717791411042,0.6726726726726727,0.21092165857817693,326,0.5,0.511,4,30,loh,random_forest,1,29
