feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
ZMYM3 (9203)_damaging,0,0.0005971706278756546,191.4,70.11633190633977,0.0,damaging,ZMYM3
KIAA1217 (56243)_damaging,0,0.0004554113446891053,192.5,21.920310216782973,0.0,damaging,KIAA1217
ITGA1 (3672)_damaging,0,0.00043363975674892485,194.0,,0.0,damaging,ITGA1
LAMA5 (3911)_damaging,0,0.0006879282904891388,194.2,107.39506506353074,0.0,damaging,LAMA5
SSUH2 (51066)_damaging,0,0.0006058865813945378,194.5,91.21677477306463,0.0,damaging,SSUH2
MEGF6 (1953)_damaging,0,0.0008440287378394798,195.2,141.80338500896232,0.0,damaging,MEGF6
IGFN1 (91156)_damaging,0,0.0005532984775377446,195.6,57.55258465090861,0.0,damaging,IGFN1
DOT1L (84444)_damaging,0,0.0009591398518266917,195.66666666666666,127.52385397772973,0.0,damaging,DOT1L
SVIL (6840)_damaging,0,0.0008321651306555519,196.6,119.55459004153708,0.0,damaging,SVIL
VHL (7428)_hotspot,0,0.0004760063685761317,197.25,17.23127002477376,0.0,hotspot,VHL
TRMT9B (57604)_damaging,0,0.000641187277726042,197.8,87.37104783622547,0.0,damaging,TRMT9B
ADGRV1 (84059)_damaging,0,0.0006793250290572445,198.2,86.2478985251235,0.0,damaging,ADGRV1
TGFBR2 (7048)_damaging,0,0.0004920578392227624,199.4,51.78609852074203,0.0,damaging,TGFBR2
DENND4C (55667)_damaging,0,0.0005974306797248057,199.5,79.97708005005768,0.0,damaging,DENND4C
LRP1 (4035)_damaging,0,0.0012627026441141803,200.0,240.71040692084753,0.0,damaging,LRP1
FHOD3 (80206)_damaging,0,0.0005856612339566617,201.0,77.59295500666711,0.0,damaging,FHOD3
PTPRC (5788)_damaging,0,0.0014212396001391744,201.0,231.4508587151925,0.0,damaging,PTPRC
ARHGEF28 (64283)_damaging,0,0.0007710809221562218,201.4,168.8143951207953,0.0,damaging,ARHGEF28
TERT (7015)_damaging,0,0.0004922680593210095,201.66666666666666,63.81483631047981,0.0,damaging,TERT
PIK3R1 (5295)_hotspot,0,0.0007787943668965075,202.8,149.68366644360367,0.0,hotspot,PIK3R1
AKAP6 (9472)_damaging,0,0.0010417306317371156,203.2,175.32170430383113,0.0,damaging,AKAP6
FLG (2312)_damaging,0,0.0008287794165094578,203.6,137.20532059654246,0.0,damaging,FLG
ZNF518A (9849)_damaging,0,0.001012456386031963,203.8,162.4521468002193,0.0,damaging,ZNF518A
HDAC2 (3066)_damaging,0,0.0007198579943649861,204.33333333333334,122.9200282026218,0.0,damaging,HDAC2
MT-ND4 (4538)_damaging,0,0.001252478456293294,204.6,231.6728296542346,0.0,damaging,MT-ND4
APC (324)_hotspot,0,0.0005048210615634157,205.4,66.58678547579844,0.0,hotspot,APC
CFAP46 (54777)_damaging,0,0.0004686127858089745,205.6,68.42002630809199,0.0,damaging,CFAP46
DOCK2 (1794)_damaging,0,0.0006653834349509714,206.0,151.60310023215226,0.0,damaging,DOCK2
PKHD1L1 (93035)_damaging,0,0.0005425088472283104,206.8,91.00934018000571,0.0,damaging,PKHD1L1
ABCA13 (154664)_damaging,0,0.00041805941415642484,207.8,20.535335400231478,0.0,damaging,ABCA13
VPS13C (54832)_damaging,0,0.0006151323390342691,208.0,82.89149534180211,0.0,damaging,VPS13C
MMUT (4594)_damaging,0,0.0004183091360372012,208.25,39.42397747564292,0.0,damaging,MMUT
DST (667)_damaging,0,0.0004397610777952912,208.6,40.90598978144888,0.0,damaging,DST
KANSL1 (284058)_damaging,0,0.0004673594032823909,209.0,58.40662062928597,0.0,damaging,KANSL1
CCDC168 (643677)_damaging,0,0.0004921067857901702,211.6,60.384600685936476,0.0,damaging,CCDC168
COL11A2 (1302)_damaging,0,0.0005206316401940974,212.8,93.67603749091867,0.0,damaging,COL11A2
TMEM245 (23731)_damaging,0,0.0006505120359878633,213.2,105.58030119297823,0.0,damaging,TMEM245
MKI67 (4288)_damaging,0,0.0005403386478125792,213.6,90.22915271684646,0.0,damaging,MKI67
CREBBP (1387)_hotspot,0,0.0006810459960059412,217.8,128.49396873005364,0.0,hotspot,CREBBP
LAMB4 (22798)_damaging,0,0.0005523556142126051,220.4,112.03258454574723,0.0,damaging,LAMB4
CDH1 (999)_damaging,0,0.000457334238011944,222.4,89.84597932016769,0.0,damaging,CDH1
INO80D (54891)_damaging,0,0.0008126156762145367,223.2,133.21674068974966,0.0,damaging,INO80D
NSD2 (7468)_damaging,0,0.0005933214529607843,223.2,150.24879367236198,0.0,damaging,NSD2
RP1 (6101)_damaging,0,0.0004312129233596541,223.6,72.76881200074658,0.0,damaging,RP1
KALRN (8997)_damaging,0,0.0004608850797734569,224.4,85.13107540728004,0.0,damaging,KALRN
ADGRA2 (25960)_damaging,0,0.0004893549832398093,227.4,101.34248862150564,0.0,damaging,ADGRA2
UCK1 (83549)_damaging,0,0.0010157242056290827,228.4,256.9237240894659,0.0,damaging,UCK1
RGS22 (26166)_damaging,0,0.0009569139243982089,229.0,190.17491948203894,0.0,damaging,RGS22
ITGB4 (3691)_damaging,0,0.000787880636071922,230.8,213.75266080215235,0.0,damaging,ITGB4
TRIOBP (11078)_damaging,0,0.00043969925684754827,231.0,103.02669556964351,0.0,damaging,TRIOBP
CDC42BPA (8476)_damaging,0,0.0007765675374822432,233.2,166.10749531553355,0.0,damaging,CDC42BPA
KIF5A (3798)_damaging,0,0.0004799752042981432,236.0,96.06247966818262,0.0,damaging,KIF5A
SETD2 (29072)_damaging,0,0.0004023928687054954,236.0,72.63952092353033,0.0,damaging,SETD2
MGAM (8972)_damaging,0,0.0003340949887602389,236.2,28.092703679069416,0.0,damaging,MGAM
DYNC2H1 (79659)_damaging,0,0.0004204309773616666,236.4,101.85185319865319,0.0,damaging,DYNC2H1
SYNE2 (23224)_damaging,0,0.0004240872194620815,236.4,94.98578841068806,0.0,damaging,SYNE2
BCL9 (607)_damaging,0,0.00044815974439923,236.8,88.14022918055069,0.0,damaging,BCL9
DYSF (8291)_damaging,0,0.00037485344683741985,237.2,72.8265061636215,0.0,damaging,DYSF
MT-ND5 (4540)_damaging,0,0.00039269681383785095,238.0,97.85448380120351,0.0,damaging,MT-ND5
PRPF40B (25766)_damaging,0,0.0003467656298961803,238.0,60.69596362197407,0.0,damaging,PRPF40B
MUC5AC (4586)_damaging,0,0.0007379918551307623,238.6,144.8492319620646,0.0,damaging,MUC5AC
GABRA6 (2559)_damaging,0,0.00032039507314467376,241.0,,0.0,damaging,GABRA6
TNKS1BP1 (85456)_damaging,0,0.0002804311520500371,241.0,,0.0,damaging,TNKS1BP1
ACVR2A (92)_damaging,0,0.0006754207420675896,243.0,171.4351189225825,0.0,damaging,ACVR2A
DNAH14 (127602)_damaging,0,0.00037151236165863745,243.2,104.53803135701381,0.0,damaging,DNAH14
SPTA1 (6708)_damaging,0,0.0005504441185468165,244.0,142.11614968046382,0.0,damaging,SPTA1
BIRC6 (57448)_damaging,0,0.0004278451450142502,244.6,127.50215684450204,0.0,damaging,BIRC6
TENM4 (26011)_damaging,0,0.0004352894529037851,246.4,129.16384943164243,0.0,damaging,TENM4
CACNA1E (777)_damaging,0,0.0002973253838634806,248.2,38.1143017776792,0.0,damaging,CACNA1E
CTNNA1 (1495)_damaging,0,0.0004958616009019601,249.2,105.43813351914004,0.0,damaging,CTNNA1
DIAPH2 (1730)_damaging,0,0.0004581431745804466,250.6,129.95883963778687,0.0,damaging,DIAPH2
PTPN23 (25930)_damaging,0,0.001129776367221369,251.5,284.8186557560208,0.0,damaging,PTPN23
PPFIA2 (8499)_damaging,0,0.0006964126794786467,252.0,245.27739398485136,0.0,damaging,PPFIA2
DMD (1756)_damaging,0,0.00042442048611373304,254.6,99.01666526398472,0.0,damaging,DMD
EP300 (2033)_hotspot,0,0.0002837565597367551,256.0,,0.0,hotspot,EP300
RSF1 (51773)_damaging,0,0.0008103463958352877,257.0,261.19596729913985,0.0,damaging,RSF1
SYT4 (6860)_damaging,0,0.00022818536671440502,259.0,,0.0,damaging,SYT4
LRRK2 (120892)_damaging,0,0.0004007845415565351,259.2,129.9430644551682,0.0,damaging,LRRK2
MYO15A (51168)_damaging,0,0.0002572771288146034,260.2,31.308145904859963,0.0,damaging,MYO15A
ZNF292 (23036)_damaging,0,0.00030407616935864914,262.2,82.5602810072737,0.0,damaging,ZNF292
FRAS1 (80144)_damaging,0,0.0006349428889796002,263.6,196.64384048324524,0.0,damaging,FRAS1
RFX7 (64864)_damaging,0,0.0003910452602624113,263.8,151.6037598478349,0.0,damaging,RFX7
COL6A5 (256076)_damaging,0,0.0004087357959877399,265.0,161.0046583177021,0.0,damaging,COL6A5
ATXN2L (11273)_damaging,0,0.0007727697383429356,266.2,244.00348358168986,0.0,damaging,ATXN2L
