ModelID,UMAP1,UMAP2,wgd,cin,loh
ACH-000437,3.6500962,10.9720745,1,1,0
ACH-000439,4.2008266,7.4286957,0,0,0
ACH-000440,5.702621,7.2045865,0,0,0
ACH-000441,5.3561015,10.741381,1,1,1
ACH-000442,5.540584,3.8000875,1,1,1
ACH-000443,2.9877403,5.7578588,0,0,1
ACH-000444,1.0530225,10.450718,1,1,1
ACH-000446,0.7932692,10.850029,0,1,1
ACH-000447,4.8324227,5.5355854,1,1,0
ACH-000448,6.348645,10.245742,1,1,1
ACH-000449,4.2090545,8.956701,0,0,0
ACH-000451,1.0875827,6.1431913,1,1,1
ACH-000452,5.6700115,6.3065767,1,1,1
ACH-000453,8.82419,-0.9736328,1,1,1
ACH-000454,9.804389,7.679601,1,1,1
ACH-000455,3.4916456,11.182645,1,0,1
ACH-000456,4.9764132,8.666418,1,0,0
ACH-000457,7.795782,7.0388923,1,1,1
ACH-000459,4.89485,11.646208,0,0,1
ACH-000461,2.9747355,5.7880225,1,1,1
ACH-000462,-14.342523,4.9762983,0,0,0
ACH-000463,1.0604706,9.825623,1,1,1
ACH-000464,3.5211058,8.628313,1,1,0
ACH-000465,4.7972307,9.852157,1,1,0
ACH-000466,4.819921,7.4801674,1,1,1
ACH-000467,-0.47767323,10.452471,1,1,1
ACH-000469,2.792397,10.946711,1,1,0
ACH-000470,-0.28752184,9.535195,1,0,0
ACH-000472,1.7006421,5.9829926,1,1,1
ACH-000475,5.670641,6.462108,1,1,1
ACH-000476,3.2712564,11.556912,1,1,0
ACH-000477,5.570273,10.757295,1,1,0
ACH-000478,2.994279,10.88928,1,1,1
ACH-000480,3.3668828,11.5573635,1,1,1
ACH-000482,3.582254,6.8450546,1,1,1
ACH-000483,4.792697,7.304378,1,0,1
ACH-000484,8.093978,2.3592253,0,0,0
ACH-000485,0.07057458,10.950125,1,0,0
ACH-000486,6.5315676,7.7786036,1,0,0
ACH-000487,8.685709,-1.0665792,0,0,1
ACH-000488,8.488702,-0.833309,1,1,1
ACH-000489,-0.05034179,9.836336,1,1,1
ACH-000490,5.673755,4.070387,1,1,1
ACH-000491,2.9003937,7.1496124,1,1,1
ACH-000492,6.6311874,8.603464,0,0,0
ACH-000493,3.6017036,10.482221,1,1,0
ACH-000494,7.930536,4.0100856,0,0,0
ACH-000495,8.854176,8.370846,0,1,1
ACH-000498,5.8314085,7.972077,0,0,0
ACH-000499,3.8485034,4.0164766,1,0,0
ACH-000501,0.06845658,9.332249,1,1,1
ACH-000502,-0.08471207,10.224967,0,0,1
ACH-000503,8.767831,-0.94939125,1,1,1
ACH-000504,3.518426,11.486241,1,1,0
ACH-000505,3.0840409,4.3805866,1,1,1
ACH-000506,4.8386574,6.4899116,1,1,1
ACH-000507,6.592263,7.924138,1,1,1
ACH-000508,4.917503,6.7800884,1,1,1
ACH-000510,5.7817926,7.4724793,1,1,1
ACH-000511,2.1045685,10.911737,1,0,1
ACH-000512,5.8414288,7.8112144,1,1,0
ACH-000513,8.689531,8.705707,0,0,0
ACH-000514,3.2613993,7.2248473,1,1,1
ACH-000515,4.60179,5.6457944,1,1,1
ACH-000516,8.85727,-0.8638396,1,1,1
ACH-000518,1.0013653,6.311505,0,0,0
ACH-000519,8.728722,-1.0179629,0,0,0
ACH-000520,8.2070465,2.6973753,1,1,1
ACH-000521,0.4467036,10.523047,1,1,1
ACH-000522,1.5268856,10.341634,1,1,1
ACH-000523,5.001865,5.3120737,1,1,1
ACH-000524,5.0606904,5.9998536,1,1,1
ACH-000525,4.9373803,6.3325,0,1,1
ACH-000527,5.942048,3.8076956,1,1,0
ACH-000529,0.009128405,6.8129253,0,0,0
ACH-000530,3.3649814,6.6464496,1,1,1
ACH-000531,-14.518807,4.965142,0,0,0
ACH-000532,-0.03922771,9.960038,1,1,1
ACH-000533,6.9692883,6.8192415,0,0,0
ACH-000534,5.163154,5.567992,0,0,0
ACH-000535,5.015966,8.638265,1,1,1
ACH-000536,4.93752,4.136974,1,1,1
ACH-000537,6.4627633,6.6549463,1,1,1
ACH-000538,7.528572,6.5684752,0,0,0
ACH-000540,7.387856,9.238716,0,0,0
ACH-000541,2.0328577,9.684296,1,1,1
ACH-000542,0.8409491,9.715634,1,1,0
ACH-000543,3.6854265,8.585308,1,0,0
ACH-000544,8.245467,2.789522,1,1,1
ACH-000545,1.2320989,6.5638356,1,1,1
ACH-000546,1.9426423,7.4157524,1,1,1
ACH-000547,4.2398777,10.576888,1,1,0
ACH-000548,1.082863,6.711745,1,1,1
ACH-000549,5.5510817,4.3535624,1,1,0
ACH-000550,4.62027,10.017325,1,1,1
ACH-000552,2.869239,6.553532,1,0,0
ACH-000553,5.8510013,7.9882812,1,1,1
ACH-000554,5.166155,4.276882,1,1,1
ACH-000555,7.271196,8.101812,1,1,1
ACH-000556,4.5861583,11.395694,1,1,1
ACH-000557,5.796171,7.733352,1,0,0
ACH-000558,5.074991,9.532373,1,1,0
ACH-000559,4.2279606,5.134425,1,0,1
ACH-000560,6.211958,5.3206854,1,1,1
ACH-000561,4.835359,5.4164805,1,1,1
ACH-000562,0.9066862,6.196949,0,0,0
ACH-000563,3.5022135,5.454968,1,1,1
ACH-000564,-0.35308722,10.661941,1,1,1
ACH-000565,-0.10314709,9.3915205,1,1,1
ACH-000566,8.866367,-0.7974578,1,0,0
ACH-000567,8.651195,-0.95005554,0,0,0
ACH-000568,7.9671507,3.5993795,1,1,1
ACH-000569,7.8073993,6.978966,1,1,1
ACH-000570,2.89902,9.934514,1,1,1
ACH-000572,6.333161,10.252704,1,1,1
ACH-000574,3.201267,6.7437167,1,1,1
ACH-000576,4.965923,7.8968344,0,0,0
ACH-000580,4.85726,10.19907,0,0,0
ACH-000582,4.381806,10.592942,1,1,1
ACH-000583,2.8401878,8.702311,0,0,0
ACH-000584,4.417349,5.6056075,1,1,1
ACH-000585,3.7958648,7.047343,1,1,1
ACH-000586,3.9246774,6.9914947,1,1,1
ACH-000587,4.791194,4.0673494,1,1,0
ACH-000588,3.2428503,5.756271,1,1,1
ACH-000590,5.664882,5.138954,1,1,1
ACH-000591,3.4136343,11.721843,1,1,1
ACH-000592,5.1908216,7.856288,1,1,1
ACH-000593,4.895301,4.1642413,1,1,0
ACH-000595,4.9027147,10.890898,1,1,1
ACH-000597,4.4199786,9.783102,0,0,0
ACH-000598,7.022212,8.79479,1,1,0
