feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
ADGRG6 (57211)_damaging,0,0.0268164558070118,143.0,,0.0,damaging,ADGRG6
CDKN2A (1029)_damaging,0,0.028816469620127884,144.2,85.37973998554926,0.0,damaging,CDKN2A
ATM (472)_damaging,0,0.02731406795055204,145.2,48.53555397850116,0.0,damaging,ATM
UGGT2 (55757)_damaging,0,0.0242294337795466,146.0,,0.0,damaging,UGGT2
CEP170B (283638)_damaging,0,0.0257435408342487,147.0,,0.0,damaging,CEP170B
OPHN1 (4983)_damaging,0,0.02620417337808325,148.0,26.038433132583076,0.0,damaging,OPHN1
SYTL2 (54843)_damaging,0,0.027250788875750998,148.2,51.036261618578614,0.0,damaging,SYTL2
COL4A4 (1286)_damaging,0,0.026113782929980962,149.6,25.95765782962708,0.0,damaging,COL4A4
NPAT (4863)_damaging,0,0.030262078743099996,151.6,118.85831901890586,0.0,damaging,NPAT
SLC23A3 (151295)_damaging,0,0.02593193425449775,152.5,31.81980515339464,0.0,damaging,SLC23A3
SLC4A10 (57282)_damaging,0,0.027303443875499822,154.4,105.08234866046723,0.0,damaging,SLC4A10
C7 (730)_damaging,0,0.025640286093451703,155.4,79.67935742712788,0.0,damaging,C7
DPP6 (1804)_damaging,0,0.026467107385561427,156.0,72.78736154031138,0.0,damaging,DPP6
SMARCA2 (6595)_damaging,0,0.02396812398326065,159.5,54.43956894269707,0.0,damaging,SMARCA2
NBAS (51594)_damaging,0,0.02873786501049188,160.0,105.03094782015442,0.0,damaging,NBAS
EPB41L5 (57669)_damaging,0,0.024349343317472332,160.66666666666666,62.06716791777544,0.0,damaging,EPB41L5
RPGRIP1 (57096)_damaging,0,0.0213049052613424,164.0,,0.0,damaging,RPGRIP1
NRXN3 (9369)_damaging,0,0.02515402508871626,165.8,103.13437836143679,0.0,damaging,NRXN3
MYC (4609)_hotspot,0,0.0213708067409173,169.0,,0.0,hotspot,MYC
CCDC171 (203238)_damaging,0,0.02293206309849515,171.5,50.204581464244875,0.0,damaging,CCDC171
CEP126 (57562)_damaging,0,0.0216138423631495,172.25,73.07245262979293,0.0,damaging,CEP126
NUP214 (8021)_damaging,0,0.02389116845349078,172.6,101.46082988030405,0.0,damaging,NUP214
BAG6 (7917)_damaging,0,0.0228569117248266,173.0,89.89623648036292,0.0,damaging,BAG6
KMT2A (4297)_damaging,0,0.02439594374120676,173.6,104.85609185927157,0.0,damaging,KMT2A
SALL1 (6299)_damaging,0,0.0197542690017521,175.0,71.78788198575022,0.0,damaging,SALL1
CLASP1 (23332)_damaging,0,0.023111408389062834,175.33333333333334,104.80617030181637,0.0,damaging,CLASP1
PXDNL (137902)_damaging,0,0.024078391441357722,176.6,108.85908322230166,0.0,damaging,PXDNL
MIA2 (4253)_damaging,0,0.021749586513349798,177.0,81.61290747588072,0.0,damaging,MIA2
SCN4A (6329)_damaging,0,0.02559144817075562,177.4,112.70004436556358,0.0,damaging,SCN4A
CTCF (10664)_damaging,0,0.02192291978583316,178.6,101.77819019809695,0.0,damaging,CTCF
LTK (4058)_damaging,0,0.019398113068936032,180.0,75.94076639065476,0.0,damaging,LTK
PLCE1 (51196)_damaging,0,0.020232211569850618,180.6,93.8685250763002,0.0,damaging,PLCE1
GRIA4 (2893)_damaging,0,0.0174441729570168,181.0,,0.0,damaging,GRIA4
GTF3C1 (2975)_damaging,0,0.0231977840673756,181.4,104.68428726413529,0.0,damaging,GTF3C1
MUC5AC (4586)_damaging,0,0.0187616301965909,183.2,71.66728681902225,0.0,damaging,MUC5AC
COL9A1 (1297)_damaging,0,0.02113620940741996,183.8,92.50783750580273,0.0,damaging,COL9A1
CDH18 (1016)_damaging,0,0.01937160231857895,184.25,73.03138594695662,0.0,damaging,CDH18
ZAN (7455)_damaging,0,0.0215791771489762,184.6,97.32574171307404,0.0,damaging,ZAN
CEP128 (145508)_damaging,0,0.023481163203638026,185.25,124.6605390650947,0.0,damaging,CEP128
CDK12 (51755)_damaging,0,0.0170979188182122,186.0,,0.0,damaging,CDK12
HPS3 (84343)_damaging,0,0.02144157489541915,186.25,100.0545684447575,0.0,damaging,HPS3
DNAH1 (25981)_damaging,0,0.021132358826578122,187.0,98.52157124203816,0.0,damaging,DNAH1
CHEK2 (11200)_damaging,0,0.018513716465337265,187.33333333333334,101.75624468961762,0.0,damaging,CHEK2
ERMP1 (79956)_damaging,0,0.020638134125368465,187.66666666666666,94.85427419643953,0.0,damaging,ERMP1
KCNA4 (3739)_damaging,0,0.0187116772988016,189.0,,0.0,damaging,KCNA4
CREBBP (1387)_hotspot,0,0.015728310857847035,189.66666666666666,34.122328955294556,0.0,hotspot,CREBBP
