feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
EPHA6 (285220)_damaging,0,0.0017124428993386,104.66666666666667,32.331615074619044,0.0,damaging,EPHA6
APC (324)_hotspot,0,0.0016838122364256,105.6,30.582674833964408,0.0,hotspot,APC
MUC16 (94025)_damaging,0,0.0017977025360395801,110.0,59.046591772938086,0.0,damaging,MUC16
ADAM18 (8749)_damaging,0,0.0014489384667377,115.0,,0.0,damaging,ADAM18
ZMYM3 (9203)_damaging,0,0.0015439106863608999,117.8,27.607969863791144,0.0,damaging,ZMYM3
SPTA1 (6708)_damaging,0,0.0020126867483646,118.4,93.30755596413401,0.0,damaging,SPTA1
EEA1 (8411)_damaging,0,0.00167065694021515,122.0,57.982756057296896,0.0,damaging,EEA1
FSIP2 (401024)_damaging,0,0.00146360994082642,129.6,43.1949071072042,0.0,damaging,FSIP2
PITRM1 (10531)_damaging,0,0.001440248841761833,129.66666666666666,12.22020185321557,0.0,damaging,PITRM1
PIK3CA (5290)_hotspot,0,0.0016286036638082,135.0,91.98369420718001,0.0,hotspot,PIK3CA
CEP170B (283638)_damaging,0,0.0014251738582886,136.5,57.27564927611035,0.0,damaging,CEP170B
EZH2 (2146)_hotspot,0,0.0013955607247217667,137.33333333333334,55.30220007679019,0.0,hotspot,EZH2
FAM135B (51059)_damaging,0,0.00128171524174335,138.0,12.727922061357855,0.0,damaging,FAM135B
ZNF106 (64397)_damaging,0,0.00137706687808508,144.6,63.049980174461595,0.0,damaging,ZNF106
ZFHX4 (79776)_damaging,0,0.00145126364612646,144.8,70.97323439156483,0.0,damaging,ZFHX4
ZNF609 (23060)_damaging,0,0.0017449291455275602,146.4,110.23066723920344,0.0,damaging,ZNF609
NRXN1 (9378)_damaging,0,0.00141511854658366,147.0,65.12679939932562,0.0,damaging,NRXN1
MYH1 (4619)_damaging,0,0.00133571718456196,152.2,62.29526466754917,0.0,damaging,MYH1
UCK1 (83549)_damaging,0,0.00136368902874398,153.6,56.31429658621335,0.0,damaging,UCK1
HAND2 (9464)_damaging,0,0.0011159199260823,154.0,,0.0,damaging,HAND2
ATM (472)_damaging,0,0.0015065060827350002,154.8,116.22693319536569,0.0,damaging,ATM
RHBDF2 (79651)_damaging,0,0.0010849394958689,155.0,,0.0,damaging,RHBDF2
CACNA1A (773)_damaging,0,0.00131924527129642,155.8,72.949982864974,0.0,damaging,CACNA1A
EPHA7 (2045)_damaging,0,0.00124237979772236,164.8,70.94152521619478,0.0,damaging,EPHA7
NOTCH1 (4851)_damaging,0,0.00141319736096986,166.8,88.00965856086478,0.0,damaging,NOTCH1
DNAH7 (56171)_damaging,0,0.0013303017957808,167.6,79.60716048195664,0.0,damaging,DNAH7
BRWD3 (254065)_damaging,0,0.00146740481800535,168.0,94.32921074619463,0.0,damaging,BRWD3
ARID1B (57492)_damaging,0,0.0012009599124163,168.6,74.78836807953493,0.0,damaging,ARID1B
UBR4 (23352)_damaging,0,0.00152537478132022,169.6,112.84857110304941,0.0,damaging,UBR4
FBXW7 (55294)_damaging,0,0.0012514603694553602,170.0,81.3295764159632,0.0,damaging,FBXW7
COL1A1 (1277)_damaging,0,0.00148874144933266,170.4,147.8387635229678,0.0,damaging,COL1A1
NEB (4703)_damaging,0,0.0014559304982551002,172.4,138.9183213258784,0.0,damaging,NEB
BRCA1 (672)_damaging,0,0.00138163543447208,174.0,118.56854557596631,0.0,damaging,BRCA1
SYNE2 (23224)_damaging,0,0.0011049001197997199,176.4,43.980677575498994,0.0,damaging,SYNE2
