ModelID,U_bin_1,V_bin_1,U_bin_2,V_bin_2,U_bin_3,V_bin_3,U_cont_1,V_cont_1,lineage
ACH-002180,0.7446795405404509,-0.9589826389842715,0.14196945215672455,0.8446716832603622,0.102867975253376,1.5018061693810947,0.7674217341726279,0.39259806502635053,Cervix
ACH-002181,-0.8384715407212993,-1.3429165982502402,-0.09546503441142039,-0.3327075136823358,0.019097814867771592,-0.031296971208432,-0.8577921110785812,-1.0890164358635752,Ovary/Fallopian Tube
ACH-002182,0.8438735874216264,-1.3429165982502402,-0.13436734237211245,-0.3327075136823358,0.060910977358393396,-0.031296971208432,0.8372801448635048,-0.1917484262455714,Ovary/Fallopian Tube
ACH-002183,0.8168179848992687,1.8562201371561868,-0.00426992528560699,-0.18554407943247947,-0.24915468462744417,0.012254923942444096,0.8146088638526964,1.162490433302151,Ovary/Fallopian Tube
ACH-002187,0.8705713390148286,-0.9589826389842715,-0.17157180990622406,0.8446716832603622,0.10576838762198555,1.5018061693810947,0.8664174055588242,0.6156227482877557,Kidney
ACH-002188,-0.639793629976033,1.8562201371561868,-0.16137026258886716,-0.18554407943247947,-0.11764210255481336,0.012254923942444096,-0.6581757157709103,0.902523407965726,Kidney
ACH-002189,-0.7070367997407364,1.8562201371561868,0.25763726920085045,-0.18554407943247947,-0.341189247948231,0.012254923942444096,-0.6837511632672858,0.927286701840109,Kidney
ACH-002190,0.8541650230258842,1.8562201371561868,-0.1671777761421018,-0.18554407943247947,0.07563024626543412,0.012254923942444096,0.8401783793573462,1.2596777938350763,Kidney
ACH-002191,0.9107591482019427,-1.3429165982502402,-0.11177453545627421,-0.3327075136823358,0.16730113730163318,-0.031296971208432,0.906418077350857,-0.5476664322286656,Kidney
ACH-002192,0.8384014399169402,0.7224668271854708,-0.023668934153969236,-0.859795074410028,0.05967745280141035,1.4391022762642052,0.8417981342090404,0.22746986985525544,Kidney
ACH-002193,-0.8283337633034521,-1.3429165982502402,0.040532212125372544,-0.3327075136823358,-0.1663200327336924,-0.031296971208432,-0.8422443009163965,-0.6458821544616137,Lung
ACH-002195,-0.6557689210565727,-1.3429165982502402,-0.06271857109444387,-0.3327075136823358,-0.06781757871348154,-0.031296971208432,-0.6710207277238429,-0.6523218967097065,Kidney
ACH-002196,-0.9216115848652551,0.7224668271854708,-0.002747145131591075,-0.859795074410028,-0.08213097433704764,1.4391022762642052,-0.9303210060592685,0.037028264113155074,Lung
ACH-002197,0.9058744607138938,1.8562201371561868,-0.16096405462218746,-0.18554407943247947,0.043932832869569054,0.012254923942444096,0.8984315652287708,1.044827291689261,Lung
ACH-002198,0.8647521399054262,-1.3429165982502402,-0.1842915931723083,-0.3327075136823358,0.02707162881735104,-0.031296971208432,0.8561181473086225,-0.9486285797866802,Other
ACH-002199,-1.0206902880565898,-1.3429165982502402,-0.024002744260460153,-0.3327075136823358,-0.07250771137528514,-0.031296971208432,-1.0190056439788846,-1.1926462711202248,Kidney
ACH-002200,-0.6297665874412083,-1.3429165982502402,-0.06001470605984255,-0.3327075136823358,0.1225237692729205,-0.031296971208432,-0.6428627399564188,-1.1042864358717632,Vulva/Vagina
ACH-002201,0.6755449834367491,1.8562201371561868,-0.20089851746737386,-0.18554407943247947,0.09642440347485998,0.012254923942444096,0.6678322068481518,0.8242862197342562,Cervix
ACH-002202,-0.6162766288681514,-1.3429165982502402,-0.055384745215337775,-0.3327075136823358,0.06838074952192004,-0.031296971208432,-0.6295879668771889,-0.5648006945886334,Esophagus/Stomach
ACH-002204,0.906572115958658,-0.9589826389842715,-0.18340454967251657,0.8446716832603622,0.1262360508148184,1.5018061693810947,0.8966703207525161,-0.4917482290911772,Bone
ACH-002205,-0.7462430899169583,0.7224668271854708,-0.10133798657452257,-0.859795074410028,0.03196433553469154,1.4391022762642052,-0.7669315427637025,-0.06347448807898629,Skin
