feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
ABCA12 (26154)_damaging,18,16,798,799,Chi-square,1.1264097744360901,0.5739409422928221,2.195813532147498,0.7315862258519616,0.8500728838995486
LRP2 (4036)_damaging,19,17,797,798,Chi-square,1.1190493763377372,0.5808066363016279,2.1431373882310245,0.7388669664032854,0.8569190193060661
HMCN1 (83872)_damaging,19,21,797,794,Chi-square,0.9013562765131147,0.48570098795023653,1.6809304158379281,0.7458589068505387,0.8624683850481948
MUC16 (94025)_damaging,46,49,770,766,Chi-square,0.9338987543069176,0.6185955445561045,1.411782364443938,0.746447516395034,0.8624683850481948
USH2A (7399)_damaging,29,27,787,788,Chi-square,1.0754388441809026,0.6329501149639324,1.8226842114249302,0.7892365909295933,0.8981979925461648
SPATA22 (84690)_damaging,31,33,785,782,Chi-square,0.9358038988612237,0.5701807794927308,1.5388462616009941,0.7948187378865491,0.8981979925461648
PIK3CG (5294)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
ATG2B (55102)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
COL4A4 (1286)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
HRAS (3265)_hotspot,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
LIMCH1 (22998)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
MMS22L (253714)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
CTTNBP2 (83992)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
MXRA5 (25878)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
AEBP1 (165)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
FREM2 (341640)_damaging,8,9,808,806,Chi-square,0.8866886688668867,0.35196932330835157,2.2632603891930527,0.8054106422378478,0.8981979925461648
LRP1B (53353)_damaging,34,32,782,783,Chi-square,1.0638586956521738,0.6516456140098332,1.7336814439215276,0.8054999068146077,0.8981979925461648
WDFY4 (57705)_damaging,9,8,807,807,Chi-square,1.125,0.4407474702536155,2.834128457681463,0.8093471172803477,0.8981979925461648
TAL1 (6886)_damaging,9,8,807,807,Chi-square,1.125,0.4407474702536155,2.834128457681463,0.8093471172803477,0.8981979925461648
SMCHD1 (23347)_damaging,9,8,807,807,Chi-square,1.125,0.4407474702536155,2.834128457681463,0.8093471172803477,0.8981979925461648
PXDNL (137902)_damaging,9,8,807,807,Chi-square,1.125,0.4407474702536155,2.834128457681463,0.8093471172803477,0.8981979925461648
PPP1R3A (5506)_damaging,9,8,807,807,Chi-square,1.125,0.4407474702536155,2.834128457681463,0.8093471172803477,0.8981979925461648
CSMD3 (114788)_damaging,38,40,778,775,Chi-square,0.9463367609254498,0.6024512364960596,1.4884555953476406,0.8121743315660573,0.8981979925461648
SLK (9748)_damaging,38,40,778,775,Chi-square,0.9463367609254498,0.6024512364960596,1.4884555953476406,0.8121743315660573,0.8981979925461648
HUWE1 (10075)_damaging,9,10,807,805,Chi-square,0.8977695167286245,0.3732113357142935,2.1825279477389254,0.8154103851769563,0.8981979925461648
SCN3A (6328)_damaging,9,10,807,805,Chi-square,0.8977695167286245,0.3732113357142935,2.1825279477389254,0.8154103851769563,0.8981979925461648
OTOG (340990)_damaging,9,10,807,805,Chi-square,0.8977695167286245,0.3732113357142935,2.1825279477389254,0.8154103851769563,0.8981979925461648
FRYL (285527)_damaging,9,10,807,805,Chi-square,0.8977695167286245,0.3732113357142935,2.1825279477389254,0.8154103851769563,0.8981979925461648
ATXN7 (6314)_damaging,9,10,807,805,Chi-square,0.8977695167286245,0.3732113357142935,2.1825279477389254,0.8154103851769563,0.8981979925461648
MYO18B (84700)_damaging,10,9,806,806,Chi-square,1.1111111111111112,0.45704946372861044,2.6728105930451744,0.8195874713184615,0.8981979925461648
