gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_ridge,gain_over_lineage,gain_over_self
MIOS (54468),0.31632861495018005,True,-0.03425984161663116,0.3516114909430364,0.09545431064342955,0.5027025471580897,0.1510910562150533,0.40724823651466013
LIPT1 (51601),0.2969251573085785,True,-0.016284997736103604,0.40500034877520624,0.1077906370806158,0.5015279053366793,0.0965275565614731,0.39373726825606353
ZNF217 (7764),0.4018668532371521,True,-0.060205009553447854,0.276853734384879,0.3558342414348934,0.500748074582467,0.22389434019758797,0.14491383314757356
IPPK (64768),0.354301780462265,True,-0.06436449979947008,0.40982743509344033,0.05246550618995881,0.5001678609601232,0.0903404258666829,0.4477023547701644
RABIF (5877),0.3094143867492676,True,-0.05050267583896484,0.4172099375758785,0.02366426157421404,0.49990793799604966,0.08269800042017117,0.4762436764218356
CTDNEP1 (23399),0.266754686832428,True,-0.06369190107914877,0.2998196798794336,0.007879297908525144,0.4995499722460458,0.19973029236661222,0.49167067433752065
MYH9 (4627),0.46060943603515625,True,-0.041867657252694146,0.25938225703800855,0.12400398550744868,0.4989201139689219,0.23953785693091334,0.3749161284614732
FURIN (5045),0.336836040019989,True,-0.06912542454538043,0.2874734459285955,0.049770149192121124,0.4956897149339293,0.20821626900533385,0.4459195657418082
PPA2 (27068),0.3959987163543701,True,-0.056089783318253414,0.2994384394472651,0.07498560505064486,0.4950939950190303,0.19565555557176517,0.4201083899683854
CAB39 (51719),0.4100474715232849,True,-0.07684071143501256,0.36557569209331925,-0.07115868405066622,0.49495754452567564,0.1293818524323564,0.5661162285763419
EEFSEC (60678),0.3645620346069336,True,-0.04513936632420491,0.4107703840804887,-0.028520047934908248,0.4949328496244733,0.0841624655439846,0.5234528975593815
AHCYL1 (10768),0.35573363304138184,True,-0.029606830046116802,0.29310764904352893,0.08226647623046329,0.494705151572675,0.20159750252914604,0.4124386753422117
EMC6 (83460),0.3106873035430908,True,-0.019342822953672848,0.3365350745173737,0.09870789759705914,0.4927883807632448,0.15625330624587114,0.3940804831661857
SMARCD1 (6602),0.30821844935417175,True,-0.0358102166503572,0.3307701235491805,0.10282517171183396,0.492682569389334,0.16191244584015352,0.38985739767750005
GPX4 (2879),0.5165767669677734,True,-0.013583194139494244,0.4036608341194843,-0.002819867833526703,0.49228855515381337,0.08862772103432909,0.4951084229873401
IREB2 (3658),0.2759820222854614,True,-0.08032248222740132,0.2730792161040311,0.03180800741323838,0.4913971701216952,0.21831795401766413,0.45958916270845684
MMGT1 (93380),0.3054943382740021,True,-0.014567290747867934,0.3613275588598843,0.046339130136252425,0.4897200214576324,0.12839246259774806,0.44338089132138
SUPT20H (55578),0.3492639660835266,True,-0.036679477688468604,0.3816664566072587,0.010627939054615397,0.48949674463189286,0.10783028802463418,0.47886880557727746
IRF2BP2 (359948),0.31854480504989624,True,-0.02552852467810738,0.3446949192453038,0.2317338862592391,0.48855660992740735,0.14386169068210353,0.2568227236681683
TAF5L (27097),0.4414966106414795,True,-0.02733595044121702,0.35569175091528066,0.09620461132692869,0.4884042395573107,0.13271248864203006,0.392199628230382
BIRC6 (57448),0.3434700071811676,True,-0.03308618503141957,0.385070674434014,-0.036897123015462205,0.48741262701013827,0.10234195257612427,0.5243097500256004
VPS4B (9525),0.35422512888908386,True,-0.0316551738336135,0.2537593599474543,-0.0663527360391263,0.4859943414054647,0.23223498145801041,0.552347077444591
CRK (1398),0.2666262686252594,True,-0.04993297003081399,0.27485795273950586,0.2879944071269256,0.4854584036851479,0.21060045094564206,0.19746399655822233
HEMK2 (29104),0.34312599897384644,True,-0.04591400734265187,0.28489410346544164,0.08263256160461141,0.48390966977654754,0.1990155663111059,0.4012771081719361
UROS (7390),0.2797928750514984,True,-0.07093546924161262,0.4128500101003744,-0.08220758429088341,0.4828365598024145,0.0699865497020401,0.565044144093298
SLC16A1 (6566),0.2665890157222748,True,-0.025044478160881473,0.2827715724954854,0.06467834668013932,0.48236674982071787,0.19959517732523246,0.41768840314057853
VPS4A (27183),0.3847086429595947,True,-0.03746248707560875,0.187381147591817,0.05944225842222359,0.48231249828947487,0.29493135069765786,0.42287023986725125
DARS2 (55157),0.3060702085494995,True,-0.05672834707920559,0.265122459942914,0.007584094966073731,0.4822441054224673,0.21712164547955332,0.4746600104563936
UXS1 (80146),0.39638108015060425,True,-0.08952346938840537,0.27449492282131854,0.06031967051433801,0.48129433413768086,0.2067994113163623,0.42097466362334285
CCNC (892),0.36616191267967224,True,-0.061329065699144945,0.3286617131082285,0.03424119497105156,0.4811268434364779,0.15246513032824938,0.44688564846542633
BCS1L (617),0.30589890480041504,True,-0.013042338701207218,0.30003718083818903,0.1021309311155391,0.4802555390370944,0.18021835819890536,0.3781246079215553
TGIF1 (7050),0.25688478350639343,True,-0.0385376646710813,0.20826067203975468,0.2805093430588391,0.48016316996655894,0.27190249792680427,0.19965382690771982
SLC25A28 (81894),0.3530096411705017,True,-0.05555682628498335,0.3216634994145163,-0.011790111333772715,0.4800202040296937,0.15835670461517742,0.4918103153634664
RRAGC (64121),0.313521146774292,True,-0.05960152207462279,0.2369585635606075,0.03745674241268065,0.47968996482347703,0.24273140126286954,0.4422332224107964
AIFM1 (9131),0.38452112674713135,True,-0.03548219773912886,0.17217048716693192,0.01551783717343373,0.4778245393219945,0.3056540521550626,0.46230670214856073
DCPS (28960),0.3290397822856903,True,-0.02967804232959629,0.28963338550431594,0.08529560876599164,0.4774897272062506,0.18785634170193466,0.392194118440259
