roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model
0.7226497848394572,0.8120498246659321,0.6641426679907316,0.7405660377358491,0.5877192982456141,0.7548076923076923,0.19859705228643754,326,0.6503067484662577,0.555,4,20,wgd,random_forest
0.7252151605428666,0.807749463836734,0.6628186031115525,0.7028301886792453,0.6228070175438597,0.7376237623762376,0.19752424361233875,326,0.6503067484662577,0.578,4,30,wgd,random_forest
0.751084842136765,0.733830425438079,0.6942802633547809,0.7239263803680982,0.6646341463414634,0.7023809523809523,0.20618807339449544,327,0.4984709480122324,0.466,0,all,cin,random_forest
0.6962629058805926,0.6575795263912234,0.6484550351638485,0.6932515337423313,0.6036585365853658,0.6627565982404692,0.2224607273218227,327,0.4984709480122324,0.487,0,5,cin,random_forest
0.7251234475534939,0.690381999447429,0.6788493191680383,0.6625766871165644,0.6951219512195121,0.6728971962616822,0.21261205936192182,327,0.4984709480122324,0.512,0,10,cin,random_forest
0.7471195570851414,0.7352683772087681,0.6909696244201706,0.6380368098159509,0.7439024390243902,0.6731391585760518,0.2043242788232633,327,0.4984709480122324,0.519,0,20,cin,random_forest
0.7479425407751011,0.7409612980509869,0.6726582373185694,0.6319018404907976,0.7134146341463414,0.65814696485623,0.20350212626879827,327,0.4984709480122324,0.504,0,30,cin,random_forest
0.7611878505024652,0.7442398750072498,0.6687116564417178,0.6319018404907976,0.7055214723926381,0.6560509554140127,0.2009197136882618,326,0.5,0.501,1,all,cin,random_forest
0.6812262411080581,0.6405596695357657,0.6319018404907975,0.6441717791411042,0.6196319018404908,0.6363636363636364,0.23027751389555778,326,0.5,0.492,1,5,cin,random_forest
0.7437615265911401,0.7191507744162468,0.6717791411042945,0.7116564417177914,0.6319018404907976,0.6843657817109144,0.20488815528801455,326,0.5,0.458,1,10,cin,random_forest
0.7545259512966239,0.7431080577421199,0.6809815950920246,0.7239263803680982,0.6380368098159509,0.6941176470588235,0.20110910297528609,326,0.5,0.468,1,20,cin,random_forest
0.76148895329143,0.7497521155665585,0.6717791411042945,0.7116564417177914,0.6319018404907976,0.6843657817109144,0.19823524303030327,326,0.5,0.47,1,30,cin,random_forest
0.7562761112574804,0.749190841340044,0.7085889570552147,0.6871165644171779,0.7300613496932515,0.7021943573667712,0.2056162944785276,326,0.5,0.498,2,all,cin,random_forest
0.6704053596296436,0.6715304512393314,0.6196319018404908,0.6319018404907976,0.6073619631901841,0.6242424242424243,0.23199462944086313,326,0.5,0.524,2,5,cin,random_forest
0.7246038616432685,0.7163244127870272,0.6809815950920246,0.6073619631901841,0.754601226993865,0.6556291390728477,0.21405721301430183,326,0.5,0.558,2,10,cin,random_forest
0.7563513869547217,0.7371290355450258,0.7116564417177914,0.6625766871165644,0.7607361963190185,0.6967741935483871,0.20375047852760733,326,0.5,0.532,2,20,cin,random_forest
0.7559561895442057,0.7503646993239149,0.6932515337423313,0.7361963190184049,0.6503067484662577,0.7058823529411765,0.20348599820107707,326,0.5,0.498,2,30,cin,random_forest
