gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_enet,gain_over_lineage
CCNC (892),0.36616191267967224,True,-0.06132906569910181,0.32866162067057114,0.034221095398551414,0.41580391413438383,0.08714229346381269
CCND2 (894),0.3273940682411194,True,-0.06321386472991282,0.3260197887658866,0.5633879564984753,0.5676054073708063,0.24158561860491973
CCND3 (896),0.37026411294937134,True,-0.042033764262313596,0.49518924020069316,0.5286819240008287,0.6845380078879731,0.18934876768727998
CCNE1 (898),0.2905806303024292,True,-0.03517612045716728,0.3093035809077068,0.41706276206352594,0.6094241674027618,0.300120586495055
CCNF (899),0.2628400921821594,True,-0.07140166595182032,0.2130162810305246,0.1305244773511679,0.26664367813591994,0.053627397105395325
CDH2 (1000),0.280927449464798,True,-0.03402860508327704,0.3271328593664144,0.3657361360170354,0.4865485741630156,0.15941571479660122
CDIN1 (84529),0.3036854863166809,True,-0.024072977064674123,0.3671468474714762,0.1327270263157876,0.5121738569891858,0.14502700951770964
CDK13 (8621),0.2665669322013855,True,-0.06199812459448765,0.21746119828209629,-0.06049533524523016,0.26408394478149255,0.04662274649939627
CDK6 (1021),0.5585237145423889,True,-0.06071964487889825,0.4515691527548016,0.4516998431982986,0.6397144262931034,0.1881452735383018
CDK8 (1024),0.27267417311668396,True,-0.03795060498922402,0.20693975651874086,0.10286327925592642,0.40686949123000143,0.19992973471126058
CDKN1A (1026),0.2903404235839844,True,-0.08463281602569576,0.34088607327504333,0.48870671826178036,0.616115850614915,0.2752297773398717
CDS2 (8760),0.31581151485443115,True,-0.0613473631445981,0.4834084732953948,-0.0954081658006923,0.6856930488516008,0.20228457555620594
